C0008377
C0002680
C1121991
C0001655
C0008845
C0016267
C0027556
C0037537
C0126177
C0963398
C0065879
C0965129
C0040964
C0041037
C0040108
C0013618
C0908935
C0006681
C0060825
C0012772
C0132515
C0676831
C0012203
C0014942
C0178627
C0064582
C0165631
C0699376
C1876226
C0005013
C0008168
C0950252
C2604598
C4078709
C1141639
C0028215
C4691480
C0069562
C1176306
C1530072
C0280970
C0717758
C1700730
C0073393
C0022180
C0033567
C0005038
C1144550
C0001367
C0013360
C0039763
C0130137
C0074280
C0061751
C1098510
C0006400
C4316929
C0039902
C0014710
C0384228
C0022252
C0209211
C1699926
C0059668
C0016860
C0070359
C0037556
C1099456
C0000477
C0037982
C1611934
C3869806
C1527027
C0006674
C0060276
C1831905
C0027679
C0041917
C0010976
C0115471
C0077274
C3179535
C0038149
C0057606
C0107994
C0002371
C2001856
C0012228
C0085149
C0020814
C0031184
C0027996
C1684399
C0079083
C0008803
C0012091
C0028375
C0012384
C0216660
C0010286
C0087161
C0042878
C0086244
C0006983
C0054138
C0012133
C0027358
C2350913
C3252090
C0051821
C0258259
C1569608
C0038702
C0022642
C0058895
C1958588
C0039607
C0057678
C0010620
C0051696
C0059623
C0010648
C4742219
C0281603
C0214192
C1870609
C0079883
C0005575
C0285984
C0008806
C0060389
C2825264
C3712232
C0146337
C0298067
C1135135
C0085379
C0040979
C0030095
C0031700
C4688584
C3658706
C0012403
C0012265
C0754659
C0002658
C0010590
C0102840
C1455147
C0016967
C0045283
C0132512
C0055729
C0008188
C0971579
C4042416
C0007299
C0018546
C0008402
C3273375
C0086073
C0001143
C2699871
C0003009
C0019134
C0040864
C0028094
C0649350
C0014695
C0023546
C4278516
C0064585
C0037506
C0013900
C0014806
C2743108
C0149368
C0032950
C0879399
C0002475
C0033405
C0042679
C0949636
C0009140
C0030771
C0061472
C0029193
C0000618
C0015042
C0032334
C3251873
C0038627
C1321596
C0007404
C0001275
C0042874
C0123931
C0040845
C0030873
C0004599
C0007559
C0966225
C0077497
C0006809
C0028158
C0042105
C0030106
C0012472
C0025042
C0060135
C0070455
C0038636
C0936065
C0001468
C0127615
C4082694
C0061323
C4765224
C0027348
C0600370
C0078643
C0220802
C0069477
C0040233
C0967014
C0022616
C0004057
C1876199
C0002499
C0083536
C0028365
C3264621
C2745274
C0065374
C4726953
C0003018
C0010654
C0007557
C0556150
C0053225
C4301607
C0024337
C0701904
C0024472
C0285590
C0168388
C0032825
C0038425
C0724672
C0024730
C0033447
C1723401
C0071097
C0004147
C1135132
C0038418
C0772089
C1314787
C3491162
C0074676
C0016365
C0008281
C0069392
C0165921
C0064113
C0063479
C0069919
C2976303
C0006388
C0387457
C0024469
C0099808
C0036444
C0023610
C1999336
C0291772
C0009002
C0005014
C0018312
C0030125
C5139959
C0006982
C0012963
C0004259
C1870115
C0002699
C0022614
C0033487
C4082271
C0087162
