C0265110
C1692886
C0039446
C0027831
C0278987
C0242852
C0011881
C1698480
C0025289
C0010403
C0015944
C0024291
C0152101
C0236663
C0023267
C0027654
C0026603
C0024117
C0010276
C0035333
C0022081
C0026705
C0006157
C0340643
C0238358
C0024441
C0235480
C0035258
C0155626
C0024214
C0002170
C0042029
C2931788
C0342527
C0005741
C0220994
C0035078
C0039483
C0017926
C0020458
C0004030
C0042373
C0520679
C0012734
C0040034
C0029401
C0020488
C0020179
C0014236
C0243001
C0157749
C0018834
C0030246
C0085580
C0238198
C0029882
C0205944
C0007971
C0346183
C0949022
C0018572
C0021355
C0043352
C0041327
C0018681
C0002915
C0036421
C0002736
C1509147
C0006060
C0023443
C0728951
C0018023
C0026961
C0694549
C0025286
C0007789
C0175683
C0020951
C0005743
C0043388
C0032580
C0024586
C0019189
C0034155
C0032285
C0030809
C0040149
C0003493
C3714509
C0006287
C0162836
C0162739
C0033847
C0085423
C0152227
C0031099
C0014866
C0279626
C0019880
C0038868
C0428977
C3539878
C0022679
C0235950
C0206666
C0699790
C0017638
C0022353
C0019069
C0282512
C0007117
C0155814
C0006625
C0008497
C0032051
C0749424
C0020672
C0018099
C0024221
C0026896
C0014804
C1959582
C0341106
C0042165
C0343386
C0855197
C0239981
C0237304
C0030920
C0272199
C0162566
C0036271
C0022729
C0039106
C0014070
C0151740
C1623040
C0524851
C0020676
C0701163
C0018213
C0079773
C1861172
C0007273
C0023968
C0870082
C1145670
C0346010
C0009088
C0025007
C0700594
C0079293
C0011848
C0030807
C0236780
C0271694
C1142085
C1739395
C0162352
C0023524
C0011991
C0029191
C0265706
C0595989
C0029104
C0392548
C0393664
C0030305
C0271215
C0376358
C0878773
C0730285
C0027059
C0206695
C0013080
C3495801
C1135196
C0043250
C0442874
C0017612
C0877015
C0002982
C0264716
C0015230
C0015403
C0007868
C0019151
C0040053
C0085390
C0007933
C0035235
C0017658
C0018801
C0021361
C0031046
C1956346
C0009324
C0004623
C0042109
C0003868
C0028326
C0684249
C0268543
C0154639
C0023418
C0042164
C0042485
C0206728
C0700359
C0699741
C3698411
C2267227
C0264303
C0040259
C0002874
C0003811
C0040560
C0040517
C0023486
C0027498
C0013369
C0524910
C0003872
C1334452
C0339527
C1960398
C0342731
C0025517
C0206624
C0018022
C0206726
C1269683
C0158945
C0496779
C0041909
C0264714
C1527407
C0022658
C0268390
C0019147
C0035597
C0024899
C0008728
C0003128
C0235063
C0038220
C0024110
C0007462
C0751908
C0043346
C0016085
C0035934
C0271568
C0085655
C0270857
C0278704
C0024776
C0031350
C0206724
C0034013
C0155862
C0007785
C0282402
C1332951
C0008625
C0009806
C0036980
C0001622
C0032463
C0023343
C0272293
C0279000
C0024894
C3279149
C0751882
C0700345
C0035460
C0013404
C0400877
C0152068
C0152965
C0154251
C0031039
C1839259
C0085215
C0038463
C0019114
C1632842
C0038041
C0272286
