C0027126,TREATS,C0011185
C0027126,TREATS,CL1798953
C0027126,TREATS,C0025887
C0027126,TREATS,C3273375
C0751882,TREATS,C0001927
C0751882,TREATS,C0034261
C0751882,TREATS,C4718957
C0043459,TREATS,C0020336
C0043459,TREATS,C0008024
C0043459,TREATS,C0085994
C0043459,TREATS,C0055568
C0043459,TREATS,C0042105
C0043459,TREATS,C0178882
C0024408,TREATS,C0000477
C0024408,TREATS,C0878240
C0024408,TREATS,C1449659
C0024408,TREATS,CL1405747
C0024408,TREATS,C5139823
C0024408,TREATS,C0084707
C0024408,TREATS,C1569608
C0024408,TREATS,C0085217
C0024408,TREATS,C0700189
C0024408,TREATS,C0170531
C0024408,TREATS,C0281398
C0024408,TREATS,C0040815
C0024408,TREATS,C4519912
C1849508,TREATS,C0034272
C1849508,TREATS,C0087162
C0349653,TREATS,C0000981
C0349653,TREATS,C0017237
C0349653,TREATS,C0022949
C0349653,TREATS,C0095278
C0268465,TREATS,C0048897
C0268465,TREATS,C4281712
C0023264,TREATS,CL1382615
C0023264,TREATS,C4519255
C0878773,TREATS,C2343853
C0014544,TREATS,C0762434
C0004096,TREATS,C0016986
C0020538,TREATS,C0016986
C0020538,TREATS,C0066685
C0020538,TREATS,C0288171
C0149931,TREATS,C2933334
C0018802,TREATS,C0040869
C0018802,TREATS,C4256092
C0020538,TREATS,C0040869
C0020538,TREATS,C4256092
C0004238,TREATS,C2001572
C0004096,TREATS,C0298130
C0020538,TREATS,C0014025
C0004096,TREATS,C1707382
C0018802,TREATS,C0020273
C0007222,TREATS,C0167117
C0007222,TREATS,C0015116
C0149931,TREATS,C4519199
C0028754,TREATS,C3493586
C0007222,TREATS,C0286651
C0018802,TREATS,C0072973
C0007222,TREATS,C0075773
C0007222,TREATS,C0112160
C0007222,TREATS,C4306022
C0026896,TREATS,C4726717
C0020538,TREATS,C0293742
C0020538,TREATS,C2348066
C0028754,TREATS,C0753720
C0004096,TREATS,C1566067
C0149931,TREATS,C0759933
C0007222,TREATS,C0753183
C0026896,TREATS,C1723401
C0004096,TREATS,C4519088
C0007222,TREATS,C4305922
C0004096,TREATS,C0966225
C0004238,TREATS,C0001888
C0004238,TREATS,C0082966
C0018801,TREATS,C0012265
C0014544,TREATS,C0025629
C0004096,TREATS,C2982078
C0028754,TREATS,C4305918
C0007222,TREATS,C0042874
C0007222,TREATS,C0969677
C0007222,TREATS,C3179443
C0007222,TREATS,C4519919
C0007222,TREATS,C2825673
C0014544,TREATS,C0075262
C0007222,TREATS,C3252279
C0018802,TREATS,C0056831
C0004238,TREATS,C0016229
C0004096,TREATS,C1722260
C0004096,TREATS,C0049063
C0028754,TREATS,C0033508
C0028754,TREATS,C1456408
C0020538,TREATS,C0025696
C0004096,TREATS,C2987420
